wind_direction,U_inf,yaw_1,yaw_2,power_1,power_2,power_total
210,12.0,10,0.0,5000.0,5000.0,10000.0
210,12.0,15,0.0,5000.0,5000.0,10000.0
210,12.0,20,0.0,5000.0,5000.0,10000.0
210,12.0,25,0.0,4862.41,5000.0,9862.41
210,12.0,30,0.0,4478.61,5000.0,9478.61
240,6.0,-30,0.0,558.99,731.0,1290.0
240,6.0,-25,0.0,611.7,731.0,1342.7
240,6.0,-20,0.0,654.71,731.0,1385.72
240,6.0,-15,0.0,688.12,731.0,1419.12
240,6.0,-10,0.0,711.95,731.0,1442.95
240,6.0,-5,0.0,726.24,731.0,1457.24
240,6.0,0,0.0,731.0,731.0,1462.01
240,6.0,5,0.0,726.24,731.0,1457.24
240,6.0,10,0.0,711.95,731.0,1442.95
240,6.0,15,0.0,688.12,731.0,1419.12
240,6.0,20,0.0,654.71,731.0,1385.72
240,6.0,25,0.0,611.7,731.0,1342.7
240,6.0,30,0.0,558.99,731.0,1290.0
240,8.0,-30,0.0,1339.86,1753.95,3093.81
240,8.0,-25,0.0,1458.96,1753.95,3212.91
240,8.0,-20,0.0,1561.32,1753.95,3315.27
240,8.0,-15,0.0,1643.59,1753.95,3397.54
240,8.0,-10,0.0,1704.2,1753.95,3458.16
240,8.0,-5,0.0,1741.51,1753.95,3495.46
240,8.0,0,0.0,1753.95,1753.95,3507.91
240,8.0,5,0.0,1741.51,1753.95,3495.46
240,8.0,10,0.0,1704.2,1753.95,3458.16
240,8.0,15,0.0,1643.59,1753.95,3397.54
240,8.0,20,0.0,1561.32,1753.95,3315.27
240,8.0,25,0.0,1458.96,1753.95,3212.91
240,8.0,30,0.0,1339.86,1753.95,3093.81
240,10.0,-30,0.0,2618.95,3417.8,6036.75
240,10.0,-25,0.0,2863.71,3417.8,6281.5
240,10.0,-20,0.0,3063.49,3417.8,6481.29
240,10.0,-15,0.0,3218.62,3417.8,6636.42
240,10.0,-10,0.0,3329.31,3417.8,6747.11
240,10.0,-5,0.0,3395.68,3417.8,6813.48
240,10.0,0,0.0,3417.8,3417.8,6835.59
240,10.0,5,0.0,3395.68,3417.8,6813.48
240,10.0,10,0.0,3329.31,3417.8,6747.11
240,10.0,15,0.0,3218.62,3417.8,6636.42
240,10.0,20,0.0,3063.49,3417.8,6481.29
240,10.0,25,0.0,2863.71,3417.8,6281.5
240,10.0,30,0.0,2618.95,3417.8,6036.75
240,12.0,-30,0.0,4478.61,5000.0,9478.61
240,12.0,-25,0.0,4862.41,5000.0,9862.41
240,12.0,-20,0.0,5000.0,5000.0,10000.0
240,12.0,-15,0.0,5000.0,5000.0,10000.0
240,12.0,-10,0.0,5000.0,5000.0,10000.0
240,12.0,-5,0.0,5000.0,5000.0,10000.0
240,12.0,0,0.0,5000.0,5000.0,10000.0
240,12.0,5,0.0,5000.0,5000.0,10000.0
240,12.0,10,0.0,5000.0,5000.0,10000.0
240,12.0,15,0.0,5000.0,5000.0,10000.0
240,12.0,20,0.0,5000.0,5000.0,10000.0
240,12.0,25,0.0,4862.41,5000.0,9862.41
240,12.0,30,0.0,4478.61,5000.0,9478.61
270,6.0,-30,0.0,558.99,398.79,957.78
270,6.0,-25,0.0,611.7,352.57,964.27
270,6.0,-20,0.0,654.71,298.24,952.96
270,6.0,-15,0.0,688.12,237.78,925.9
270,6.0,-10,0.0,711.95,177.94,889.89
270,6.0,-5,0.0,726.24,150.13,876.37
270,6.0,0,0.0,731.0,140.87,871.87
270,6.0,5,0.0,726.24,154.05,880.29
270,6.0,10,0.0,711.95,187.85,899.8
270,6.0,15,0.0,688.12,248.04,936.15
270,6.0,20,0.0,654.71,307.24,961.95
270,6.0,25,0.0,611.7,359.69,971.38
270,6.0,30,0.0,558.99,404.11,963.11
270,8.0,-30,0.0,1339.86,1010.0,2349.86
270,8.0,-25,0.0,1458.96,891.85,2350.8
270,8.0,-20,0.0,1561.32,756.53,2317.85
270,8.0,-15,0.0,1643.59,643.12,2286.71
270,8.0,-10,0.0,1704.2,539.06,2243.27
270,8.0,-5,0.0,1741.51,461.9,2203.41
270,8.0,0,0.0,1753.95,436.44,2190.4
270,8.0,5,0.0,1741.51,472.31,2213.82
270,8.0,10,0.0,1704.2,555.49,2259.69
270,8.0,15,0.0,1643.59,660.71,2304.3
